zipcode,name,tel,beonji,address
601-701,동구의회,051-440-4092,806-74,부산 동구　　
607-701,동래구의회,051-550-4902~5,381,부산 동래구　
614-701,부산진구의회,051-805-1066,666-16,부산 부산진구
616-701,북구의회,051-309-4091,1124,부산 북구　　
617-702,사상구의회,051-310-4092,132-7,부산 사상구　
604-701,사하구의회,051-207-5329,317-16,부산 사하구　
602-701,서구의회,051-240-4091,270,부산 서구　　
613-702,수영구의회,051-610-4092~5,148-15,부산 수영구　
611-703,연제구의회,051-665-4092,76-2,부산 연제구　
606-750,영도구의회,051-419-4092~3,48-3,부산 영도구　
600-701,중구의회,051-600-4092,1,부산 중구　　
612-701,해운대구의회,051-749-4092~5,1378-95,부산 해운대구
619-906,기장군의회,051-720-5091,신천리 1,부산 기장군　
705-702,남구의회,053-476-5130,565-5,대구 남구　　
705-813,달성군의회,053-650-3504,1583,대구 남구　　
704-828,달서구의회,053-630-0507,281,대구 달서구　
701-810,동구의회,053-943-6034,36-1,대구 동구　　
703-840,서구의회,053-562-7393,1230-9,대구 서구　　
706-824,수성구의회,053-741-1814,238-3,대구 수성구　
700-422,중구의회,053-421-8257,177-4,대구 중구　　
407-822,계양구의회,032-450-5811,855-23,인천 계양구　
402-701,남구의회,032-880-4908~9,131-1,인천 남구　　
404-701,서구의회,032-561-4333~5,244,인천 서구　　
417-802,강화군의회,032-933-6635,관청리 163,인천 강화군　
506-806,광산구의회,062-945-0431,823-3,광주 광산구　
503-831,남구의회,062-650-7503,1026-16,광주 남구　　
501-704,동구의회,062-220-0509,31,광주 동구　　
500-701,북구의회,062-511-0900,239-2,광주 북구　　
502-701,서구의회,062-360-7509,299,광주 서구　　
680-706,남구의회,052-229-9509,1320-1,울산 남구　　
682-701,동구의회,052-230-9508,222,울산 동구　　
683-707,북구의회,052-219-7532,1004-1,울산 북구　　
681-701,중구의회,052-281-5293,180-1,울산 중구　　
680-708,울주군의회,052-257-8108,156-3,울산 울주군　
210-030,강릉시의회,033-640-4508,38,강원 강릉시　
245-701,삼척시의회,033-570-3508,592,강원 삼척시　
217-701,속초시의회,033-639-2508~9,469-6,강원 속초시　
220-703,원주시의회,033-741-2508,185-1,강원 원주시　
200-050,춘천시의회,033-257-4720,6-1,강원 춘천시　
219-801,고성군의회,033-680-3505~8,하리 12,강원 고성군　
255-806,양구군의회,033-480-2508~9,하리 34-5,강원 양구군　
252-806,인제군의회,033-461-6396,상동리 349-6,강원 인제군　
209-804,화천군의회,033-440-2505~9,아리 239,강원 화천군　
225-808,횡성군의회,033-340-2508,읍하리 58-1,강원 횡성군　
412-701,고양시의회,031-961-2521,600,경기 고양시　
464-720,광주시의회,031-761-4420~2,120-8,경기 광주시　
471-702,구리시의회,031-550-2521,390-1,경기 구리시　
435-701,군포시의회,031-390-0521,844,경기 군포시　
415-728,김포시의회,031-983-8647,263-1,경기 김포시　
472-701,남양주시의회,031-590-2521,185-10,경기 남양주시
483-708,동두천시의회,031-860-2521~2,438-1,경기 동두천시
461-700,성남시의회,031-729-5531,3309,경기 성남시　
442-781,경기도의회,031-257-5100~6,1,경기 수원시　
442-701,수원시의회,031-233-5155,1111,경기 수원시　
425-702,안산시의회,031-481-2522,515,경기 안산시　
456-701,안성시의회,031-676-3001~3,31-3,경기 안성시　
431-728,안양시의회,031-389-2521,205,경기 안양시　
482-709,양주시의회,031-820-2520~7,1-1,경기 양주시　
447-701,오산시의회,031-370-3521~2,915,경기 오산시　
449-704,용인시의회,031-324-2521~4,556,경기 용인시　
437-701,의왕시의회,031-345-2521,171,경기 의왕시　
480-703,의정부시의회,031-828-2521~2,326-2,경기 의정부시
467-717,이천시의회,031-644-2524~6,187-1,경기 이천시　
413-020,파주시의회,031-940-8311~5,산26,경기 파주시　
459-813,평택시의회,031-659-5521,800,경기 평택시　
487-701,포천군의회,031-530-8521,신읍리 58-2,경기 포천시　
465-701,하남시의회,031-790-6521~2,520,경기 하남시　
445-702,화성시의회,031-369-2521,2000,경기 화성시　
477-701,가평군의회,031-582-2850,읍내리 513,경기 가평군　
476-703,양평군의회,031-773-4551,양근리 448-8,경기 양평군　
469-704,여주군의회,031-884-7121,홍문리 4,경기 여주군　
486-701,연천군의회,031-834-3308,차탄리 290-1,경기 연천군　
621-701,김해시의회,055-330-3509,623,경남 김해시　
664-701,사천시의회,055-830-5008,427-1,경남 사천시　
626-701,양산시의회,055-380-4761~4,505,경남 양산시　
650-800,통영시의회,055-646-1584,357,경남 통영시　
668-801,남해군의회,055-860-3508,서변리 24-1,경남 남해군　
666-805,산청군의회,055-970-3508,옥산리 451,경남 산청군　
667-805,하동군의회,055-880-2508,읍내리 180-3,경남 하동군　
678-801,합천군의회,055-930-3506,합천리 337,경남 합천군　
712-804,경산시의회,053-811-4772,701-17,경북 경산시　
790-722,포항시의회,054-270-5101,1001,경북 포항시　
717-801,고령군의회,054-955-4267~8,지산리 190,경북 고령군　
755-806,봉화군의회,054-679-6404,내성4리 537,경북 봉화군　
764-805,영양군의회,054-683-3648,서부리 379-1,경북 영양군　
799-801,울릉군의회,054-790-6404,도동리 181-6,경북 울릉군　
769-805,의성군의회,054-830-6404,후죽리 509-2,경북 의성군　
545-701,광양시의회,061-797-2514~6,1313,전남 광양시　
540-701,순천시의회,061-749-3508,53-1,전남 순천시　
548-804,고흥군의회,061-835-1228,옥하리 200-2,전남 고흥군　
546-802,보성군의회,061-853-0031,보성리 807-2,전남 보성군　
529-801,장흥군의회,061-860-0508~9,건산리 715-11,전남 장흥군　
573-703,군산시의회,063-450-4508,888,전북 군산시　
336-701,아산시의회,041-540-2508,1626,충남 아산시　
339-807,연기군의회,041-861-2508,신흥리 123,충남 연기군　
390-701,제천시의회,043-640-5971,12-2,충북 제천시　
373-809,옥천군의회,730-3508,삼양리 174,충북 옥천군　
143-766,우정사업정보센터,02-450-2234,680-81,서울 광진구　
143-203,우정사업조달사무소,02-204-5060,,서울 광진구　
143-766,정보통신부전산관리소,02-450-2010~4,680-81,서울 광진구　
143-831,정보통신부조달사무소,02-2204-5011~3,587,서울 광진구　
138-806,중앙전파관리소,02-3400-2000,100,서울 송파구　
140-848,전파연구소,02-710-6420,1,서울 용산구　
110-110,우정사업본부,02-2195-1423,154-1,서울 종로구　
110-110,우정사업본부,02-2195-1114,154-1,서울 종로구　
100-100,서울체신청,02-6450-3116,21,서울 중구　　
611-777,부산체신청,051-559-3000,1473,부산 연제구　
706-032,경북체신청,053-757-1112,118-2,대구 수성구　
502-700,전남체신청,062-600-4711~6,840-3,광주 서구　　
302-700,충청체신청,042-611-1220,1408,대전 서구　　
220-714,강원체신청,033-749-2021~8,914,강원 원주시　
561-232,전북체신청,063-240-3671~2,1534,전북 전주시　
690-180,제주체신청,064-712-6101~2,707,제주 제주시　
330-710,지식경제공무원교육원,041-560-5910,,충남 천안시　
100-100,서울체신청,02-6450-3116,21,서울 중구　　
611-777,부산체신청,051-559-3000,1473,부산 연제구　
706-032,경북체신청,053-757-1115,118-2,대구 수성구　
502-280,전남체신청,062-600-4623,840-3,광주 서구　　
302-120,충청체신청,042-611-1121,1408,대전 서구　　
220-714,강원체신청,033-749-2022,,강원 원주시　
561-232,전북체신청,0652-240-3610,1534,전북 전주시　
690-790,제주체신청,064-728-5911,,제주 제주시　
135-240,서울강남우체국,02-2040-4021,14-4,서울 강남구　
134-010,서울강동우체국,002-483-7371,403,서울 강동구　
142-109,서울강북우체국,02-988-2197,,서울 강북구　
157-033,서울강서우체국,02-3661-0024,681,서울 강서구　
151-015,서울관악우체국,02-887-9359,1412-2,서울 관악구　
143-203,서울광진우체국,02-2049-0550,587,서울 광진구　
153-014,서울금천우체국,02-854-0014,286-9,서울 금천구　
139-229,서울노원우체국,02-932-0140,311-14,서울 노원구　
130-110,동대문우체국,02-2252-0014,117-23,서울 동대문구
156-012,서울동작우체국,02-822-0385,361-2,서울 동작구　
121-041,서울마포우체국,02-715-0014,17-1,서울 마포구　
120-180,서대문우체국,02-324-0014,98-3,서울 서대문구
137-130,서울서초우체국,02-3498-2920,324-2,서울 서초구　
136-131,서울성북우체국,02-919-0014,88-3,서울 성북구　
138-130,서울송파우체국,02-408-0006,50-3,서울 송파구　
158-055,서울양천우체국,02-2646-1051,905-16,서울 양천구　
150-010,여의도우체국,02-783-0014,35-1,서울 영등포구
140-012,서울용산우체국,02-797-0004,142,서울 용산구　
122-011,서울은평우체국,02-355-0014,89-1,서울 은평구　
110-110,광화문우체국,02-3703-9013,154-1,서울 종로구　
100-709,서울중앙우체국,02-6450-1114,21-1,서울 중구　　
131-221,서울중랑우체국,02-434-4300,116-20,서울 중랑구　
618-141,부산강서우체국,051-941-2005,1549,부산 강서구　
609-311,부산금정우체국,051-583-0014,420-16,부산 금정구　
601-062,동부산우체국,051-630-1425,830-63,부산 동구　　
607-011,동래우체국,051-559-7014,638-13,부산 동래구　
614-013,부산진우체국,051-892-0013,256-7,부산 부산진구
616-120,북부산우체국,051-365-0868,2282,부산 북구　　
617-060,부산사상우체국,051-320-3331,554-12,부산 사상구　
604-010,부산사하우체국,051-293-0001,481-1,부산 사하구　
613-011,남부산우체국,051-625-0014,27-4,부산 수영구　
611-700,부산연제우체국,051-500-0813,1473,부산 연제구　
606-012,부산영도우체국,051-417-0014,81,부산 영도구　
600-013,부산우체국,051-600-3114,1,부산 중구　　
612-030,해운대우체국,051-702-0014,1458-3,부산 해운대구
619-900,기장우체국,051-724-0014,청강리 280-1,부산 기장군　
705-791,남대구우체국,053-470-2014,2010-1,대구 남구　　
704-400,대구달서우체국,053-640-4614,283-1,대구 달서구　
701-012,동대구우체국,053-940-6414,1289-2,대구 동구　　
702-280,북대구우체국,053-310-3024,771-3,대구 북구　　
703-014,서대구우체국,053-560-5335,1404-4,대구 서구　　
706-032,대구수성우체국,053-757-1030,118-2,대구 수성구　
700-010,대구우체국,053-250-2051,35,대구 중구　　
711-870,달성우체국,053-611-1100,원교리 94,대구 달성군　
407-054,인천계양우체국,032-540-9400,1078-2,인천 계양구　
405-707,남인천우체국,032-453-0500,520-1,인천 남동구　
404-190,서인천우체국,032-562-2080,278-7,인천 서구　　
406-113,인천우체국,032-821-2170,581-1,인천 연수구　
417-800,강화우체국,032-934-6640,관청리 169-5,인천 강화군　
409-910,백령우체국,032-836-0205,진촌리 695-2,인천 옹진군　
506-050,광주광산우체국,062-949-2114,1601-8,광주 광산구　
501-012,광주우체국,062-231-8010,16,광주 동구　　
500-010,북광주우체국,062-510-9114,63,광주 북구　　
502-244,서광주우체국,062-603-7190,896-2,광주 서구　　
306-220,대전대덕우체국,042-930-2430,80-2,대전 대덕구　
300-010,대전우체국,042-250-7050,34-1,대전 동구　　
302-700,대전둔산우체국,042-611-1631,1408,대전 서구　　
305-301,대전유성우체국,042-828-8115,537-8,대전 유성구　
301-131,서대전우체국,042-250-3400,1-217,대전 중구　　
680-030,남울산우체국,052-260-2201,1314-1,울산 남구　　
682-062,동울산우체국,052-250-0100,621-14,울산 동구　　
681-180,울산우체국,052-282-5801,349-17,울산 중구　　
210-040,강릉우체국,0033-648-0014,28,강원 강릉시　
240-010,동해우체국,033-533-0014,844,강원 동해시　
245-010,삼척우체국,033-573-0014,33-10,강원 삼척시　
217-030,속초우체국,033-633-2001,468-3,강원 속초시　
220-050,원주우체국,033-742-0014,54-1,강원 원주시　
200-091,춘천우체국,033-242-0014,676,강원 춘천시　
235-011,태백우체국,033-553-0014,27,강원 태백시　
255-800,양구우체국,033-482-2001,중리 3-1,강원 양구군　
215-800,양양우체국,033-671-0014,남문리 130-11,강원 양양군　
230-800,영월우체국,033-374-0014,영흥리 950-3,강원 영월군　
252-800,인제우체국,033-461-0014,,강원 인제군　
233-800,정선우체국,033-562-0001,봉양리 309,강원 정선군　
269-800,철원우체국,033-452-2001,신철원리 682-6,강원 철원군　
232-800,평창우체국,033-332-0014,하리 165-1,강원 평창군　
250-800,홍천우체국,033-434-0014,신장대리 55-45,강원 홍천군　
209-800,화천우체국,033-441-0100,하리 17-4,강원 화천군　
225-800,횡성우체국,033-343-2008,읍하리 119-2,강원 횡성군　
412-272,고양덕양우체국,031-968-0014,957,경기 고양시　
410-382,고양일산우체국,031-905-2007,783,경기 고양시　
423-062,광명우체국,02-890-1111,650-2,경기 광명시　
464-800,경기광주우체국,031-761-2005,53-7,경기 광주시　
471-010,구리우체국,031-560-0071,674-1,경기 구리시　
435-050,군포우체국,031-396-8390,846,경기 군포시　
415-765,김포우체국,031-984-2032,838,경기 김포시　
472-140,남양주우체국,031-590-0700,589,경기 남양주시
483-031,동두천우체국,031-862-0014,508-1,경기 동두천시
420-021,부천우체국,032-325-0003,1169-2,경기 부천시　
463-050,성남분당우체국,031-725-8014,257,경기 성남시　
461-163,성남우체국,031-744-0001,2482,경기 성남시　
442-829,동수원우체국,031-216-0014,465-2,경기 수원시　
440-330,수원우체국,031-888-1303,517,경기 수원시　
429-853,시흥우체국,031-319-2206,,경기 시흥시　
425-020,안산우체국,031-483-2002,521-2,경기 안산시　
456-240,안성우체국,031-673-2500,266-11,경기 안성시　
431-058,안양우체국,031-381-0014,1110,경기 안양시　
447-010,오산우체국,031-374-2001,870,경기 오산시　
448-846,용인수지우체국,031-272-6231,,경기 용인시　
449-020,용인우체국,031-333-4940,128-2,경기 용인시　
480-070,의정부우체국,031-877-0014,811,경기 의정부시
467-801,이천우체국,031-635-2001,456,경기 이천시　
413-012,파주우체국,031-941-0100,56,경기 파주시　
450-151,평택우체국,031-652-2007,620-5,경기 평택시　
487-800,포천우체국,031-535-2001,202-12,경기 포천시　
465-012,하남우체국,031-795-0014,378-2,경기 하남시　
477-800,가평우체국,031-582-2001,읍내리 495-6,경기 가평군　
476-800,양평우체국,031-772-2001,양근리 321-2,경기 양평군　
469-800,여주우체국,031-883-0004,홍문리 233-5,경기 여주군　
486-800,연천우체국,031-834-2001,차탄1리 34-7,경기 연천군　
656-800,거제우체국,055-636-0050,고현리 693-1,경남 거제시　
621-100,김해우체국,055-320-9015,44,경남 김해시　
630-010,마산우체국,055-292-0044,247-6,경남 마산시　
631-422,마산합포우체국,055-243-0124,8-2,경남 마산시　
627-110,밀양우체국,055-350-3122,597-5,경남 밀양시　
664-800,사천우체국,055-852-2001,수석리 259-9,경남 사천시　
626-130,양산우체국,055-370-7140,424-17,경남 양산시　
660-010,진주우체국,055-741-0011,11-5,경남 진주시　
645-140,진해우체국,0055-0542-0005,,경남 진해시　
641-010,창원우체국,055-262-0014,72-1,경남 창원시　
650-801,통영우체국,055-650-2050,1036-1,경남 통영시　
670-800,거창우체국,055-944-2001,상림리 75-1,경남 거창군　
638-800,고성우체국,055-673-5100,성내리 2-17,경남 고성군　
668-800,남해우체국,055-863-2006,북변리 97-8,경남 남해군　
666-800,산청우체국,055-973-2001,산청리 185,경남 산청군　
636-800,의령우체국,055-573-2100,중동리 417-1,경남 의령군　
635-800,창녕우체국,055-532-0104,교하리 43-1,경남 창녕군　
667-800,하동우체국,055-882-2001,읍내리 408-1,경남 하동군　
637-800,함안우체국,055-582-0114,말산리 210-5,경남 함안군　
676-800,함양우체국,055-963-2005,운림리 40-2,경남 함양군　
678-800,합천우체국,055-933-0002,합천리 791,경남 합천군　
712-700,경산우체국,053-819-3704,650-2,경북 경산시　
780-070,경주우체국,054-740-0114,188,경북 경주시　
730-090,구미우체국,054-450-1534,49,경북 구미시　
740-010,김천우체국,054-434-0014,154-2,경북 김천시　
745-120,문경우체국,054-552-2004,172-3,경북 문경시　
742-030,상주우체국,054-535-6446,12,경북 상주시　
760-230,안동우체국,054-850-3009,333-5,경북 안동시　
750-012,영주우체국,054-639-7014,423-1,경북 영주시　
770-090,영천우체국,054-331-0014,928-25,경북 영천시　
790-150,포항우체국,054-271-9932,664-2,경북 포항시　
717-800,고령우체국,054-954-2600,쾌빈리 433-8,경북 고령군　
716-800,군위우체국,054-383-2005,서부리 56-1,경북 군위군　
755-800,봉화우체국,054-673-0005,내성4리 234-8,경북 봉화군　
719-800,성주우체국,054-930-1211,경산리 660-3,경북 성주군　
766-800,영덕우체국,054-734-2001,덕곡1리 158-15,경북 영덕군　
764-800,영양우체국,054-682-0014,서부리 158-1,경북 영양군　
757-800,예천우체국,054-653-2001,서본리 1-8,경북 예천군　
799-800,울릉우체국,054-791-0515,도동리 264,경북 울릉군　
767-800,울진우체국,054-782-2005,읍내리 539-6,경북 울진군　
769-800,의성우체국,054-834-2005,후죽리 626-1,경북 의성군　
714-800,청도우체국,054-372-0100,고수5리 593-1,경북 청도군　
763-800,청송우체국,054-873-2001,월막리 243-2,경북 청송군　
718-800,왜관우체국,054-973-0008,왜관리 211-12,경북 칠곡군　
545-010,광양우체국,061-797-5566,1312-1,전남 광양시　
520-130,나주우체국,061-333-3007,1093-7,전남 나주시　
530-360,목포우체국,061-270-6351,1110-1,전남 목포시　
540-003,순천우체국,061-720-6789,,전남 순천시　
555-010,서여수우체국,061-690-0820,73-1,전남 여수시　
550-070,여수우체국,061-660-3043,299-1,전남 여수시　
527-800,강진우체국,061-432-2001,남성리 42-1,전남 강진군　
548-800,고흥우체국,061-830-2320,옥하리 205-2,전남 고흥군　
516-800,곡성우체국,061-362-7002,읍내리 319,전남 곡성군　
542-800,구례우체국,061-780-5516,봉동리 474-1,전남 구례군　
517-800,담양우체국,061-382-9875,지침리 176,전남 담양군　
534-800,무안우체국,061-453-2005,성남리,전남 무안군　
546-800,보성우체국,061-850-6242,보성리 834,전남 보성군　
513-800,영광우체국,061-352-0100,무령리,전남 영광군　
526-800,영암우체국,061-473-2001,서남리,전남 영암군　
537-800,완도우체국,061-554-2005,중앙리 782-96,전남 완도군　
515-800,장성우체국,061-390-9516,영천리 1026,전남 장성군　
529-800,장흥우체국,061-860-2103,건산리 715-8,전남 장흥군　
539-802,진도우체국,061-544-2001,쌍정리 18,전남 진도군　
525-800,함평우체국,061-322-0002,내교리,전남 함평군　
536-800,해남우체국,061-530-2013,해리 419,전남 해남군　
519-800,화순우체국,061-372-2002,만연리 240-1,전남 화순군　
573-041,군산우체국,063-440-6120,16-1,전북 군산시　
576-010,김제우체국,063-547-0014,575,전북 김제시　
590-050,남원우체국,063-632-0014,189-3,전북 남원시　
570-120,익산우체국,063-840-8330,125,전북 익산시　
561-232,동전주우체국,0063-240-3843,1534,전북 전주시　
560-020,전주우체국,063-230-2635,89,전북 전주시　
580-010,정읍우체국,063-535-2014,558-2,전북 정읍시　
585-800,고창우체국,063-564-2001,교촌리 360,전북 고창군　
568-800,무주우체국,063-322-4005,읍내리 225-1,전북 무주군　
579-800,부안우체국,063-582-0014,동중리 131-3,전북 부안군　
595-800,순창우체국,063-653-0008,순화리 125,전북 순창군　
565-800,완주우체국,063-0291-0014,삼례리 927-2,전북 완주군　
566-800,임실우체국,063-642-2001,이도리 233-7,전북 임실군　
597-800,장수우체국,063-351-5502,장수리 454-16,전북 장수군　
567-800,진안우체국,063-430-5720,군상리 403-70,전북 진안군　
697-370,서귀포우체국,064-739-7115,,제주 서귀포시
690-032,제주우체국,064-758-8602,54,제주 제주시　
314-100,공주우체국,041-851-2520,152-2,충남 공주시　
320-120,논산우체국,041-731-9000,55-4,충남 논산시　
355-060,보령우체국,041-930-7777,339-2,충남 보령시　
356-010,서산우체국,041-661-6660,139-1,충남 서산시　
336-010,아산우체국,041-538-2001,1585,충남 아산시　
330-010,천안우체국,041-551-0014,19,충남 천안시　
312-800,금산우체국,041-754-2005,상리 175-10,충남 금산군　
343-800,당진우체국,041-352-1977,남산리,충남 당진군　
323-800,부여우체국,041-830-1500,구아리 259,충남 부여군　
325-800,서천우체국,041-950-8015,,충남 서천군　
339-800,연기우체국,041-861-6010,교리 24-3,충남 연기군　
340-800,예산우체국,041-335-2005,예산리 438-4,충남 예산군　
345-800,청양우체국,041-940-3040,읍내리 174-1,충남 청양군　
357-900,태안우체국,041-674-2001,남문리 160-3,충남 태안군　
350-808,홍성우체국,041-632-2005,옥암리 1070,충남 홍성군　
390-100,제천우체국,0043-647-0014,988,충북 제천시　
361-270,서청주우체국,043-230-5720,3322,충북 청주시　
360-011,청주우체국,043-253-8089,196-1,충북 청주시　
380-010,충주우체국,043-840-0120,430,충북 충주시　
367-800,괴산우체국,043-832-2001,동부리 667-5,충북 괴산군　
395-800,단양우체국,043-422-2001,별곡리 320,충북 단양군　
376-800,보은우체국,043-542-2005,삼산리 99-19,충북 보은군　
370-800,영동우체국,043-742-0004,부용리 2-4,충북 영동군　
373-800,옥천우체국,043-730-4000,금구리 112-27,충북 옥천군　
369-800,음성우체국,043-0872-2014,읍내리 456-4,충북 음성군　
365-800,진천우체국,043-532-2005,읍내리 369-1,충북 진천군　
135-241,서울개포1동우체국,02-575-0205,167-11,서울 강남구　
135-242,서울개포동우체국,02-445-6576,189-2,서울 강남구　
135-731,서울무역센터우체국,02-551-1607,159-9,서울 강남구　
135-092,서울삼성동우체국,02-562-0208,112-22,서울 강남구　
135-081,서울상록회관우체국,02-567-2974,701,서울 강남구　
135-220,서울수서동우체국,02-451-0009,718-3,서울 강남구　
135-081,서울역삼1동우체국,02-552-0159,647-9,서울 강남구　
135-082,서울역삼2동우체국,02-566-0205,732-24,서울 강남구　
135-081,서울역삼동우체국,02-557-2054,809-8,서울 강남구　
135-012,서울영동우체국,02-515-0411,208-5,서울 강남구　
135-282,서울은마A우체국,02-566-0400,316,서울 강남구　
135-230,서울일원동우체국,02-459-2500,712-1,서울 강남구　
135-239,서울일원본동우체국,02-2226-0004,735-4,서울 강남구　
135-110,서울현대A우체국,02-544-0002,369,서울 강남구　
134-090,서울고덕동우체국,02-426-0004,121,서울 강동구　
134-061,서울둔촌동우체국,02-478-0004,172-1,서울 강동구　
134-071,서울명일동우체국,02-3427-2001,327-3,서울 강동구　
134-090,서울상일동우체국,02-426-2505,354-1,서울 강동구　
134-031,서울성내1동우체국,02-488-0004,550-3,서울 강동구　
134-033,서울성내동우체국,02-471-0205,440-28,서울 강동구　
134-022,서울천호동우체국,02-472-3301,425-6,서울 강동구　
142-100,서울미아2동우체국,02-989-1001,776-5,서울 강북구　
142-805,서울미아동우체국,02-988-2005,62-6,서울 강북구　
142-062,서울번2동우체국,02-987-2645,234-1,서울 강북구　
142-063,서울번3동우체국,02-985-3402,242-2,서울 강북구　
142-073,서울수유3동우체국,02-994-2007,173-3,서울 강북구　
142-072,서울수유동우체국,02-994-0004,317-5,서울 강북구　
157-807,서울가양동우체국,02-2668-0100,1472-2,서울 강서구　
157-811,서울공항동우체국,02-2662-2005,28-1,서울 강서구　
157-033,서울등촌동우체국,02-2658-2004,705-5,서울 강서구　
157-833,서울발산동우체국,02-2663-2530,701-13,서울 강서구　
157-857,서울방화우체국,02-2661-2002,823,서울 강서구　
157-864,서울염창동우체국,02-3665-0591,282-25,서울 강서구　
157-897,서울화곡4동우체국,02-2653-0004,778-5,서울 강서구　
157-866,화곡우체국,02-2602-0014,24-254,서울 강서구　
151-894,서울난곡우체국,02-855-0004,1476-53,서울 관악구　
151-742,서울대학교우체국,02-889-0205,산56-1,서울 관악구　
151-834,서울봉천6동우체국,02-871-2005,1666-43,서울 관악구　
151-805,서울봉천동우체국,02-878-2005,7-270,서울 관악구　
151-827,서울봉천본동우체국,02-886-2005,935-3,서울 관악구　
151-859,서울신림동우체국,02-889-2005,244-2,서울 관악구　
151-080,제22군사우체국,02-584-0013,산100-14,서울 관악구　
143-701,건국대학교우체국,02-452-3260,1,서울 광진구　
143-192,서울자양동우체국,02-455-2004,636-7,서울 광진구　
143-130,서울화양동우체국,02-465-2677,18-10,서울 광진구　
143-766,인터넷우체국,02-450-2751,680-81,서울 광진구　
143-222,중곡동우체국,02-452-0600,43-5,서울 광진구　
152-051,구로1동우체국,02-865-0004,685-220,서울 구로구　
152-872,구로4동우체국,02-863-0004,731-4,서울 구로구　
152-081,서울고척우체국,02-2615-1911,174-23,서울 구로구　
152-053,서울구로디지털우체국,02-855-1877,819,서울 구로구　
152-841,서울동구로우체국,02-857-2004,98-16,서울 구로구　
152-892,오류동우체국,02-2613-2005,31-64,서울 구로구　
153-023,서울가산동우체국,02-864-7143,146-61,서울 금천구　
153-803,서울가산디지털우체국,0002-2626-9400,429-1,서울 금천구　
153-856,서울시흥1동우체국,02-806-1938,852-55,서울 금천구　
153-864,서울시흥동우체국,02-802-0205,993-2,서울 금천구　
139-701,광운대학우체국,02-917-2005,447-1,서울 노원구　
139-743,산업대학우체국,02-976-2005,172,서울 노원구　
139-201,상계1동우체국,02-937-0800,1025-3,서울 노원구　
139-830,상계6동우체국,02-935-6005,734,서울 노원구　
139-808,서울공릉동우체국,02-972-9000,670-31,서울 노원구　
139-808,서울북부지방법원우체국,02-972-0140,622,서울 노원구　
139-825,서울상계10동우체국,02-932-0101,676,서울 노원구　
139-810,서울상계3동우체국,02-936-2005,101-62,서울 노원구　
139-201,서울수락산우체국,02-933-6508,1260,서울 노원구　
139-774,서울여자대학교우체국,02-977-2005,126,서울 노원구　
139-053,서울월계3동우체국,02-974-1005,15-3,서울 노원구　
139-052,월계2동우체국,02-990-2005,597,서울 노원구　
139-799,제77군사우체국,02-972-2006,,서울 노원구　
139-223,중계3동우체국,02-974-2005,510-3,서울 노원구　
139-229,중계동우체국,02-952-0014,368-5,서울 노원구　
139-231,하계1동우체국,02-971-0004,251-3,서울 노원구　
132-714,서울덕성여대우체국,02-907-2005,419,서울 도봉구　
132-011,서울도봉1동우체국,02-954-1698,563-2호,서울 도봉구　
132-012,서울도봉2동우체국,02-955-5052,625-17,서울 도봉구　
132-855,서울방학3동우체국,02-3493-9533,283-2,서울 도봉구　
132-021,서울방학동우체국,02-956-0100,707-1,서울 도봉구　
132-032,서울쌍문2동우체국,02-992-2005,646,서울 도봉구　
132-045,서울창5동우체국,02-992-4903,327,서울 도봉구　
130-701,경희대학교우체국,02-960-2005,1,서울 동대문구
130-010,산업연구원우체국,02-963-3379,206-9,서울 동대문구
130-033,서울답십리우체국,02-2247-2005,465-5,서울 동대문구
130-743,서울시립대학교우체국,02-2213-0630,90,서울 동대문구
130-082,서울이문동우체국,02-965-2005,291-31,서울 동대문구
130-061,서울제기동우체국,02-968-2006,900-1,서울 동대문구
130-010,서울청량리우체국,02-962-0014,286-1,서울 동대문구
130-091,서울휘경동우체국,02-965-2336,191-19,서울 동대문구
130-823,용두동우체국,02-925-0110,255-56,서울 동대문구
130-104,장안4동우체국,02-2247-5018,301-1,서울 동대문구
130-103,장안동우체국,02-2244-2005,377-5,서울 동대문구
130-022,전농동우체국,02-2245-0205,294-134,서울 동대문구
130-791,한국외국어대학교우체국,02-963-8380,270,서울 동대문구
156-060,노량진우체국,02-812-9052,387-1,서울 동작구　
156-091,서울사당동우체국,02-583-2005,1007-57,서울 동작구　
156-032,서울상도동우체국,02-814-5634,31-8,서울 동작구　
156-743,서울숭실대우체국,02-812-9051,1-1,서울 동작구　
156-756,서울중앙대우체국,02-812-9050,221,서울 동작구　
156-763,서울총신대우체국,02-3477-4470,31-3,서울 동작구　
156-070,서울흑석동우체국,02-812-9053,101-3,서울 동작구　
121-742,서강대학교우체국,02-715-0205,1-1,서울 마포구　
121-232,서울망원동우체국,02-337-0004,482-9,서울 마포구　
121-840,서울서교동우체국,02-332-0288,394-43,서울 마포구　
121-713,서울서부지방법원우체국,02-711-4220,105-1,서울 마포구　
121-252,서울성산2동우체국,02-306-2006,452,서울 마포구　
121-251,서울성산동우체국,02-333-6117,108-3,서울 마포구　
121-859,서울아현동우체국,02-313-0205,330-3,서울 마포구　
121-881,서울창전동우체국,02-333-6118,390-11,서울 마포구　
121-791,서울홍익대학교우체국,02-332-0402,72-1,서울 마포구　
120-704,경찰청우체국,02-393-2001,209,서울 서대문구
120-728,서울명지대학교우체국,02-305-9934,50-3,서울 서대문구
120-132,서울모래내우체국,02-373-2005,424-29,서울 서대문구
